mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__criterion,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_split,param_classifier__n_estimators,param_classifier__oob_score,param_classifier__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,mean_train_score,std_train_score
24.680668652057648,0.860069184204748,0.5430004000663757,0.038332721973660555,entropy,10,,7,449,False,0.15,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__max_features': None, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 449, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.15}",0.7466407671780558,0.6972117188899679,0.6733364136123186,0.690205655769394,0.7607717041800643,0.6422196238916495,0.7337912890967553,0.7067426678359153,0.7063649800567651,0.03688664155900591,21,0.9471748154325936,0.9477563029938374,0.9446394826133061,0.9463174839742929,0.951337045320878,0.950895454877184,0.9477282191318913,0.9493866712666486,0.9481544344513291,0.0021269023116816522
8.725483179092407,0.975084581700884,0.31274837255477905,0.024743579227327818,entropy,19,log2,8,153,True,0.2,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 19, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 8, 'classifier__n_estimators': 153, 'classifier__oob_score': True, 'classifier__sampling_strategy': 0.2}",0.7266786734684256,0.7077066694326315,0.6784565916398714,0.6874334046826527,0.7594952742862712,0.6498197408165254,0.7217675143720159,0.719409529377375,0.7063459247594711,0.031581871049115064,22,0.922608828455484,0.9280976710893835,0.9253966750909824,0.9231116995258112,0.9273998381940806,0.9227337707218707,0.9197007878379396,0.9231597503677319,0.9240261276604105,0.0025935512675143465
9.638175368309021,0.988574593644234,0.35861480236053467,0.0437633286609667,entropy,19,sqrt,16,222,False,0.25,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 19, 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 16, 'classifier__n_estimators': 222, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.25}",0.7222185552234303,0.7212661832514544,0.6778436789846395,0.6783151502578948,0.7684302835428236,0.6176751437201599,0.7264347656630614,0.7381759719380298,0.7062949665726868,0.04359805689289128,23,0.9124596551343527,0.9111449364608188,0.9119330618809809,0.912118330170049,0.9141825659390344,0.9120807671458272,0.9108664422094118,0.9134675913982944,0.9122816687923461,0.001032902219347886
11.902749419212341,0.790355458787344,0.43962565064430237,0.030781959202583465,entropy,17,log2,9,323,True,0.3,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 17, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 9, 'classifier__n_estimators': 323, 'classifier__oob_score': True, 'classifier__sampling_strategy': 0.3}",0.7204458232359903,0.7170700889194821,0.6915163459090437,0.6813702841085892,0.7640845756601383,0.6267270778524797,0.7207541654486992,0.7279937640066257,0.706245265642631,0.037925208874139776,24,0.9033946443936933,0.9121055868485786,0.9082645537063363,0.9071960752138281,0.9096767042795831,0.9074511899135513,0.9030106984700247,0.90319549128937,0.9067868680143707,0.003124437491380595
11.064062744379044,0.8743620181155898,0.4652898609638214,0.013421516429877317,gini,14,log2,13,305,False,0.2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 14, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 13, 'classifier__n_estimators': 305, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.2}",0.7282816757974937,0.7013606660946148,0.6888855362042791,0.6725820595751101,0.7728636850823346,0.6318815161258892,0.722118288999318,0.7312481730488162,0.706152700115982,0.03998287928482388,25,0.9098690359049943,0.9139631710167465,0.9118934595588731,0.9117405397012299,0.9131060062934931,0.910566910025996,0.9087384953298348,0.9092924835179244,0.9111462626686366,0.0017279986432568212
14.201497375965118,0.5940684970382643,0.6135005950927734,0.056835283650014015,entropy,15,log2,17,451,False,0.3,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 15, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 17, 'classifier__n_estimators': 451, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.3}",0.7182487671026204,0.7233312274283128,0.6840953880680051,0.6849723246362599,0.7636363636363638,0.6424144986845952,0.7072493422975737,0.7224593198869727,0.7058009039675879,0.03355890015895932,26,0.8874476519057833,0.8971586510194363,0.8915776643687516,0.8943455137920968,0.8934734766690772,0.8939898038073957,0.8900947146131508,0.8911662007493963,0.8924067096156361,0.0027871993209104677
18.95448935031891,0.9748157762876616,0.4335012435913086,0.030753144583632555,entropy,9,,11,321,False,0.15,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 9, 'classifier__max_features': None, 'classifier__min_samples_split': 11, 'classifier__n_estimators': 321, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.15}",0.7473102563860784,0.6988241506445012,0.6683671063922074,0.6871316630677693,0.7576439637532886,0.6420052616194095,0.7347948942804249,0.7081457663451233,0.7055278828111002,0.03729053422418255,27,0.9317057955253689,0.9336335659871732,0.9288414889610488,0.931910276822192,0.9363422885976,0.9356212648726998,0.9321562531587474,0.9357086853405632,0.9332399524081743,0.002402791920113016
9.161131829023361,0.9150444188891735,0.3344739079475403,0.05054500951921484,entropy,6,sqrt,5,211,False,0.25,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 6, 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 211, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.25}",0.7167872061555289,0.722558014540174,0.6783622973852202,0.6811251190464965,0.7599337425703986,0.6463119945435057,0.7249244860177336,0.7136022605475981,0.705450640100832,0.03289786603932585,28,0.8490241850596906,0.8545645891327699,0.851757725540616,0.8642940170497799,0.8526678268091256,0.86455096125439,0.8559550705627575,0.8542776903356282,0.8558865082180948,0.005298557027105223
15.414496839046478,0.7177544046083737,0.5527516901493073,0.05660016288216455,entropy,6,12,12,473,False,0.25,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 6, 'classifier__max_features': 12, 'classifier__min_samples_split': 12, 'classifier__n_estimators': 473, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.25}",0.7211624595713384,0.7261600550678446,0.6680465059263939,0.6878577288285824,0.7544382734093346,0.6417226931696386,0.7187956737795966,0.7253532105622138,0.705442075039368,0.03431392211065912,29,0.8603778963364127,0.8700459602592657,0.8638260430751713,0.8685820466989799,0.86636922893196,0.8714300544543656,0.8667005681159602,0.8691339012281405,0.8670582123875319,0.0033605495125017533
14.006910115480423,0.7872038830545097,0.5518753230571747,0.038984072671180085,gini,19,log2,15,391,True,0.25,"{'classifier__criterion': 'gini', 'classifier__max_depth': 19, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 15, 'classifier__n_estimators': 391, 'classifier__oob_score': True, 'classifier__sampling_strategy': 0.25}",0.7269898445087741,0.713609489773788,0.6714976756466229,0.6748828393885961,0.7734970281594076,0.6406996005066745,0.7237454935204132,0.7186007989866511,0.7054403463113659,0.03864636777747782,30,0.8974984075749439,0.9055470894155736,0.898291238221495,0.900362714139264,0.899996448543493,0.8994635349324774,0.8975338451853763,0.9006604928563038,0.8999192213586159,0.002419539477389569
8.694907188415527,0.6911000908432685,0.23526409268379211,0.019025230464257862,entropy,10,,13,89,True,0.15,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__max_features': None, 'classifier__min_samples_split': 13, 'classifier__n_estimators': 89, 'classifier__oob_score': True, 'classifier__sampling_strategy': 0.15}",0.7501485134510754,0.7070088919482136,0.6711016397770884,0.6806913654751016,0.753541849361785,0.6501120530059438,0.7276819643379129,0.7030108155510084,0.7054121366135162,0.03476438519689782,31,0.9370083896147027,0.9418435978827266,0.9351811933669639,0.9395468592515829,0.9433673427573118,0.9418550467172638,0.9376654988488989,0.9399232104854608,0.9395488923656139,0.002607269232241787
12.267885118722916,0.8944884986256336,0.49337559938430786,0.034416040814619214,gini,15,log2,17,364,False,0.3,"{'classifier__criterion': 'gini', 'classifier__max_depth': 15, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 17, 'classifier__n_estimators': 364, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.3}",0.7158819813108788,0.7221148315433141,0.6824546680370764,0.6803519061583577,0.7667348728441976,0.6404072883172561,0.7185325928091201,0.7163207639091884,0.7053498631161736,0.0350372657983522,32,0.8847870424338882,0.8945258808036762,0.8864324993123508,0.8893077847382453,0.8893828622319773,0.8910698040727791,0.8844701441540099,0.8875025416330222,0.8884348199224936,0.003154528116672947
8.075551390647888,1.0246173761640789,0.3182430863380432,0.021666938922746033,gini,16,log2,16,164,False,0.2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 16, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 16, 'classifier__n_estimators': 164, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.2}",0.7301958491669103,0.6901490792166033,0.6865281798380025,0.6818040376799841,0.7658092175777064,0.6395693267075904,0.7220208516028451,0.7265614342784761,0.7053297470085148,0.03617200297541974,33,0.9067824073937927,0.9098402163933617,0.9040398485622887,0.9070696222546228,0.9105659343511314,0.9064197064467522,0.9024752481043612,0.9045458253019031,0.9064673511010267,0.00260194115685016
12.74112594127655,1.0249563979790208,0.5252476632595062,0.015603361736919449,gini,19,log2,7,375,False,0.25,"{'classifier__criterion': 'gini', 'classifier__max_depth': 19, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 7, 'classifier__n_estimators': 375, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.25}",0.7319497223034199,0.7087533356592582,0.681087401344636,0.6742416384569688,0.765799473838059,0.6380687908019097,0.7190782422293677,0.7234629250706421,0.7053051912130327,0.03703538577629339,34,0.9099531418266982,0.9157268467082335,0.9098343348603753,0.9112159069588533,0.910540761939626,0.9100373137095197,0.9073428900035866,0.9116744961322297,0.9107907115173903,0.0022209522892042777
12.363911092281342,1.0010684827911027,0.4854452311992645,0.05111927886154422,gini,12,log2,12,335,True,0.2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 12, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 12, 'classifier__n_estimators': 335, 'classifier__oob_score': True, 'classifier__sampling_strategy': 0.2}",0.7266126674901698,0.7055661898520523,0.6849346069343993,0.6770044601182449,0.7733411283250512,0.6402221572639579,0.7114391503459028,0.7229367631296891,0.7052571404324335,0.03688349581544823,35,0.9074991702137212,0.9115576240253564,0.9094722284795199,0.9085058926098734,0.9105095403439605,0.9086077548979854,0.9073690380899564,0.907130778288034,0.9088315033685509,0.0014841048844517815
9.466373890638351,0.9503527415484354,0.2671246826648712,0.02336339456826729,gini,10,,16,137,True,0.25,"{'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__max_features': None, 'classifier__min_samples_split': 16, 'classifier__n_estimators': 137, 'classifier__oob_score': True, 'classifier__sampling_strategy': 0.25}",0.7361929637627179,0.6853495016548641,0.6586453687376828,0.6854720841859105,0.7706615999220501,0.6341420637240572,0.7453083893598362,0.7256942414498684,0.7051832765996233,0.043695360746457926,36,0.9009600818395711,0.9050112817605233,0.8980836201070792,0.9026539633396207,0.901401030078495,0.9027484370664345,0.9020477073787168,0.9056709735556987,0.9023221368907675,0.002221542695280961
